Hostname,Operating System,Build
HRWK215468,Windows 10 Enterprise,19042
HRWK26WCMR2,Windows 10 Pro,19043
HRWK28VBCP2,Windows 10 Enterprise,19042
HRWK2BWR942,Windows 10 Enterprise,19043
HRWK2Y7HDW2,Windows 10 Pro,19042
HRWK402JS13,Windows 10 Enterprise,19042
HRWK42C6CX1,Windows 10 Pro,19043
HRWK503RCP2,Windows 10 Enterprise,19042
HRWK50GLCS2,Windows 10 Pro,19043
HRWK62L61M3,Windows 10 Pro,19042
HRWK6Q3VCV2,Windows 10 Pro,19042
HRWK6SWQZC3,Windows 10 Enterprise,19042
HRWK71NP903,Windows 10 Pro for Workstations,19044
HRWK7DTJKH2,Windows 10 Enterprise,19042
HRWK839WBZ1,Windows 10 Enterprise,19044
HRWK853CM02,Windows 10 Enterprise,19044
HRWK8568M02,Windows 10 Enterprise,19042
HRWK85BBM02,Windows 10 Enterprise,19042
HRWK85H9M02,Windows 10 Enterprise,19044
HRWK85LBMC2,Windows 10 Enterprise,18363
HRWK8CRFZ2,Windows 10 Enterprise,18363
HRWK8YKD1S2,Windows 10 Pro,19043
HRWK99QL8BC,Windows 10 Pro,19042
HRWK9GTD3W2,Windows 10 Pro,19043
HRWK9KP6XMQ,Windows 10 Enterprise,19041
HRWK9KP7XM2,Windows 10 Enterprise,19042
HRWK9MJWBH2,Windows 10 Pro,19043
HRWK9WJF-Q2,Windows 11,22000
HRWK9WJF0Q2,Windows 10 Enterprise,19043
HRWKC3JSC42,Windows 10 Enterprise,19043
HRWKC3JVC42,Windows 10 Enterprise,19041
HRWKC3KNC42,Windows 10 Enterprise,19044
HRWKC3KPC42,Windows 10 Enterprise,19041
HRWKC3KSC42,Windows 10 Enterprise,19043
HRWKC3LQC42,Windows 10 Enterprise,19042
HRWKC3MTC42,Windows 10 Enterprise,19042
HRWKC40K9Z2,Windows 10 Pro,19043
HRWKCV6DN22,Windows 10 Enterprise,19042
HRWKCVC3GK2,Windows 10 Home,19043
HRWKD7WNV12,Windows 10 Enterprise,19042
HRWKD9GW0S2,Windows 10 Pro,19043
HRWKDJWXBM2,Windows 10 Enterprise,19044
HRWKDQ32RZ2,Windows 10 Pro,19043
HRWKDQHNM02,Windows 10 Pro,19043
